Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,person_id,qw,qx,qy,qz,roll,pitch,yaw,bgx,bgy,bgz,acc_lin_x,acc_lin_y,acc_lin_z
38,295570,25712,1,-18752,-1893,-21581,-2800,295528,-20610,22680,11270,-3711,-271,-9484,295569,-30032,12576,2648,4982,1091,-9198,295569,9353,-28976,13728,1866,2909,-368,295531,3624,29776,15472,-4183,-53,-568,1,0,IMU_label_0_hansol,-0.7403388141857651,-0.33623284844594553,-0.42638324956824747,0.39628681068584976,0.37164323263069116,1.114806110374145,-0.7496406784149757,0.0,0.0,0.0,25720.804659704714,-0.568204353130835,-18756.023566429612
39,295613,27129,-3263,-16288,1135,-7057,-2700,295570,-25768,20992,7366,-4796,1145,-8996,295612,-31656,14104,1072,3560,817,-8888,295569,9353,-28976,13728,1866,2909,-368,295614,6768,27464,13944,-1016,216,998,1,0,IMU_label_0_hansol,-0.21350054122880086,0.40227745791399916,0.6182049114580123,0.6406348829079253,1.7117336454780938,-0.893707761814677,2.7762683014481975,0.0,0.0,0.0,27121.35669590472,-3269.083205741536,-16287.136927212954
40,295613,27129,-3263,-16288,1135,-7057,-2700,295613,-23890,20672,9610,-3002,3323,-8414,295612,-31656,14104,1072,3560,817,-8888,295612,9929,-30616,12232,892,514,72,295655,6960,27288,14928,-1407,-129,-100,1,0,IMU_label_0_hansol,0.7347507460288787,0.3467618796131004,0.44256386981523416,-0.3795191183476275,0.4411062927258908,1.151937799252829,-0.6643950686980716,0.0,0.0,0.0,27137.958902300976,-3264.7028678950146,-16291.60675681412
41,295657,28377,-2863,-22280,4926,13287,-548,295657,-27280,23062,10040,-1818,3007,-6694,295656,31568,15793,-1432,3862,3451,-6834,295656,10705,-31456,12824,1096,198,630,295698,7000,27480,13752,-1481,-431,-918,1,0,IMU_label_0_hansol,-0.5445754390886638,0.5961354195689031,0.5730916107361884,0.14009339163785817,-2.2157250745808645,-0.9127891519646685,1.0507643697445814,0.0,0.0,0.0,28369.24085596909,-2858.207404623151,-22276.394851225832
42,295700,30145,-4159,-25480,3252,8071,-94,295700,-29638,22422,9376,-1710,3239,-4034,295699,29208,16473,-816,3204,835,-3614,295699,9689,-30008,12272,1138,836,1062,295741,6192,28896,16832,18,249,-796,1,0,IMU_label_0_hansol,-0.7590073869692318,-0.3327634953685897,-0.43967726629918413,0.3462082381687265,0.47329223638399387,1.1148562725398847,-0.5574484499947179,0.0,0.0,0.0,30153.804876312613,-4160.968195819445,-25483.843272376293
43,295743,-30407,-5551,-25472,-604,3509,-552,295743,-31690,22690,9296,10,1440,10,295742,28272,15337,-1248,1194,1848,508,295742,10809,-30752,13656,765,-454,1342,295784,4488,28480,16160,1469,-247,-492,1,0,IMU_label_0_hansol,0.4042265085165509,-0.1517477985328047,-0.8600633398971199,-0.27178040182834623,2.5608704805713303,-0.8911657514035359,3.0758278761686335,0.0,0.0,0.0,-30414.627660984537,-5554.381487420615,-25466.846873283946
44,295786,-29015,-5487,-25216,-1826,1601,-844,295786,31954,22572,8644,1509,-138,4708,295785,26776,15056,1272,-1782,1328,5268,295785,10745,-29608,12504,-1093,-560,2008,295827,6704,29944,14496,2588,25,-214,1,0,IMU_label_0_hansol,0.35404019424518324,0.15846769840163447,0.3612096377228695,-0.8479806171359313,-0.628246819586701,0.5521518637554012,-2.5341407601742763,0.0,0.0,0.0,-29009.856210705457,-5482.092853607626,-25222.755126216412
45,295829,-30039,-4823,-26032,-2790,4547,-1100,295829,-30598,22684,11206,2821,-1000,9956,295828,26920,15480,1160,-3346,460,10032,295828,9825,-30816,11640,-1605,-1734,2766,295870,5104,28832,14888,3265,-537,-306,1,0,IMU_label_0_hansol,-0.38504392452962777,0.4564189294964929,0.768395832393761,0.2301972670124406,3.1377724771910267,-0.9304101484947525,2.071533843094284,0.0,0.0,0.0,-30046.86361012951,-4823.022384360341,-26026.140518888675
46,295872,-31127,-3503,-23032,-3682,7665,-2896,295872,-28810,24456,9976,7084,646,14676,295871,29344,16152,584,-4774,2132,14324,295871,10521,-31272,11608,-1889,-1000,3446,295913,5832,27912,15800,4793,-593,-412,1,0,IMU_label_0_hansol,-0.3986206362032579,-0.28121750794187406,-0.2671871985203796,0.8310410955943774,-0.3047526883984484,0.7483346180905935,-2.3675534176316315,0.0,0.0,0.0,-31120.327366327416,-3500.843626709851,-23038.855391916404
47,295915,30401,-2919,-20512,-4464,5927,-5962,295915,-25596,22686,8934,8195,-74,18146,295914,32392,15048,688,-5916,1644,17626,295914,9329,-30216,11520,-2267,-764,4172,295956,5344,29032,13464,4632,94,366,1,0,IMU_label_0_hansol,0.550798196766255,-0.16611866257525285,-0.8168609187634804,-0.042002092568511194,-2.8561220050858,-1.1525576092347913,2.5540931546590095,0.0,0.0,0.0,30392.03862728293,-2917.878354759053,-20508.178207854715
